Intent,User_Query,Response,Language,Category,Action_Required,User_Query_Normalized,Keywords
fayoum_attractions,قرية تونس tour,"You can find all details about قرية تونس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,قريه تونس tour,"قريه, تونس, tour"
fayoum_emergency,Fayoum ambulance help,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance help,"fayoum, ambulance, help"
fayoum_attractions,عايز أزور وادي الحيتان من فضلك,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,عايز ازور وادي الحيتان من فضلك,"ازور, وادي, الحيتان, فضلك"
fayoum_emergency,مستشفى الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم لو سمحت,"مستشفي, الفيوم, سمحت"
fayoum_hotels,Stay at فندق زاد المسافر now,"To book your stay at فندق زاد المسافر, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Stay at فندق زاد المسافر now,"stay, فندق, زاد, المسافر, now"
fayoum_hotels,حجز فنادق قرية تونس لو سمحت,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,حجز فنادق قريه تونس لو سمحت,"حجز, فنادق, قريه, تونس, سمحت"
fayoum_hotels,Book فندق كوم الدكة help,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Book فندق كوم الدكه help,"book, فندق, كوم, الدكه, help"
fayoum_emergency,Fayoum hospital,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum hospital,"fayoum, hospital"
fayoum_hotels,Room in فندق كوم الدكة ASAP,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in فندق كوم الدكه ASAP,"room, فندق, كوم, الدكه, asap"
fayoum_emergency,Pharmacy Fayoum please,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Pharmacy Fayoum please,"pharmacy, fayoum"
fayoum_emergency,مستشفى الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم لو سمحت,"مستشفي, الفيوم, سمحت"
fayoum_attractions,جمال وادي الحيتان من فضلك,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,جمال وادي الحيتان من فضلك,"جمال, وادي, الحيتان, فضلك"
fayoum_hotels,موقع فندق زاد المسافر مساعدة,لحجز إقامتك في فندق زاد المسافر، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,موقع فندق زاد المسافر مساعده,"موقع, فندق, زاد, المسافر, مساعده"
fayoum_hotels,أسعار فندق أوبرج الفيوم مساعدة,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اسعار فندق اوبرج الفيوم مساعده,"اسعار, فندق, اوبرج, الفيوم, مساعده"
fayoum_emergency,Doctor Fayoum,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Doctor Fayoum,"doctor, fayoum"
fayoum_hotels,Stay at فندق كوم الدكة help,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Stay at فندق كوم الدكه help,"stay, فندق, كوم, الدكه, help"
fayoum_hotels,إقامة في بيوم ليك سايد ريزورت مساعدة,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اقامه في بيوم ليك سايد ريزورت مساعده,"اقامه, بيوم, ليك, سايد, ريزورت, مساعده"
fayoum_hotels,تقييم فندق أوبرج الفيوم لو سمحت,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,تقييم فندق اوبرج الفيوم لو سمحت,"تقييم, فندق, اوبرج, الفيوم, سمحت"
fayoum_emergency,Accident Fayoum kindly,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Accident Fayoum kindly,"accident, fayoum, kindly"
fayoum_hotels,فندق كوم الدكة services now,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق كوم الدكه services now,"فندق, كوم, الدكه, services, now"
fayoum_attractions,أنشطة قرية تونس يا فندم,يمكنك معرفة كافة التفاصيل عن قرية تونس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه قريه تونس يا فندم,"انشطه, قريه, تونس, فندم"
fayoum_attractions,مدينة كرانبس hours now,"You can find all details about مدينة كرانبس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,مدينه كرانبس hours now,"مدينه, كرانبس, hours, now"
fayoum_attractions,ماجيك ليك trip,"You can find all details about ماجيك ليك, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,ماجيك ليك trip,"ماجيك, ليك, trip"
fayoum_emergency,Fayoum hospital please,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum hospital please,"fayoum, hospital"
fayoum_hotels,حجز فندق كوم الدكة من فضلك,لحجز إقامتك في فندق كوم الدكة، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,حجز فندق كوم الدكه من فضلك,"حجز, فندق, كوم, الدكه, فضلك"
fayoum_hotels,فنادق قرية تونس rating kindly,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فنادق قريه تونس rating kindly,"فنادق, قريه, تونس, rating, kindly"
fayoum_attractions,قصر قارون tickets,"You can find all details about قصر قارون, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,قصر قارون tickets,"قصر, قارون, tickets"
fayoum_hotels,فندق زاد المسافر rates,"To book your stay at فندق زاد المسافر, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق زاد المسافر rates,"فندق, زاد, المسافر, rates"
fayoum_emergency,Doctor Fayoum,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Doctor Fayoum,"doctor, fayoum"
fayoum_hotels,تقييم فنادق قرية تونس,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,تقييم فنادق قريه تونس,"تقييم, فنادق, قريه, تونس"
fayoum_attractions,أنشطة هرم هوارة من فضلك,يمكنك معرفة كافة التفاصيل عن هرم هوارة والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه هرم هواره من فضلك,"انشطه, هرم, هواره, فضلك"
fayoum_hotels,بيوم ليك سايد ريزورت address ASAP,"To book your stay at بيوم ليك سايد ريزورت, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,بيوم ليك سايد ريزورت address ASAP,"بيوم, ليك, سايد, ريزورت, address, asap"
fayoum_attractions,رحلة مدينة كرانبس يا فندم,يمكنك معرفة كافة التفاصيل عن مدينة كرانبس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,رحله مدينه كرانبس يا فندم,"رحله, مدينه, كرانبس, فندم"
fayoum_emergency,شرطة الفيوم من فضلك,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,شرطه الفيوم من فضلك,"شرطه, الفيوم, فضلك"
fayoum_attractions,وادي الريان hours please,"You can find all details about وادي الريان, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,وادي الريان hours please,"وادي, الريان, hours"
fayoum_attractions,مدينة كرانبس info please,"You can find all details about مدينة كرانبس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,مدينه كرانبس info please,"مدينه, كرانبس, info"
fayoum_hotels,أسعار بيوم ليك سايد ريزورت لو سمحت,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اسعار بيوم ليك سايد ريزورت لو سمحت,"اسعار, بيوم, ليك, سايد, ريزورت, سمحت"
fayoum_attractions,مواعيد شلالات الفيوم لو سمحت,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,مواعيد شلالات الفيوم لو سمحت,"مواعيد, شلالات, الفيوم, سمحت"
fayoum_hotels,فندق أوبرج الفيوم rating now,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق اوبرج الفيوم rating now,"فندق, اوبرج, الفيوم, rating, now"
fayoum_emergency,Fayoum police kindly,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum police kindly,"fayoum, police, kindly"
fayoum_attractions,بحيرة قارون tour ASAP,"You can find all details about بحيرة قارون, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,بحيره قارون tour ASAP,"بحيره, قارون, tour, asap"
fayoum_hotels,سكن في الفيوم,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,سكن في الفيوم,"سكن, الفيوم"
fayoum_hotels,Book بيوم ليك سايد ريزورت,"To book your stay at بيوم ليك سايد ريزورت, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Book بيوم ليك سايد ريزورت,"book, بيوم, ليك, سايد, ريزورت"
fayoum_emergency,نجدة الفيوم الآن,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,نجده الفيوم الان,"نجده, الفيوم, الان"
fayoum_hotels,موقع فنادق قرية تونس من فضلك,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,موقع فنادق قريه تونس من فضلك,"موقع, فنادق, قريه, تونس, فضلك"
fayoum_emergency,مستشفى الفيوم من فضلك,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم من فضلك,"مستشفي, الفيوم, فضلك"
fayoum_hotels,حجز بيوم ليك سايد ريزورت لو سمحت,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,حجز بيوم ليك سايد ريزورت لو سمحت,"حجز, بيوم, ليك, سايد, ريزورت, سمحت"
fayoum_emergency,نجدة الفيوم الآن,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,نجده الفيوم الان,"نجده, الفيوم, الان"
fayoum_emergency,أمن الفيوم الآن,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,امن الفيوم الان,"امن, الفيوم, الان"
fayoum_hotels,حجز فنادق قرية تونس,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,حجز فنادق قريه تونس,"حجز, فنادق, قريه, تونس"
fayoum_attractions,جمال قرية تونس من فضلك,يمكنك معرفة كافة التفاصيل عن قرية تونس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,جمال قريه تونس من فضلك,"جمال, قريه, تونس, فضلك"
fayoum_hotels,فندق زاد المسافر rating help,"To book your stay at فندق زاد المسافر, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق زاد المسافر rating help,"فندق, زاد, المسافر, rating, help"
fayoum_hotels,فندق أوبرج الفيوم address please,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق اوبرج الفيوم address please,"فندق, اوبرج, الفيوم, address"
fayoum_attractions,جمال قرية تونس من فضلك,يمكنك معرفة كافة التفاصيل عن قرية تونس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,جمال قريه تونس من فضلك,"جمال, قريه, تونس, فضلك"
fayoum_hotels,أوضة في فندق زاد المسافر يا فندم,لحجز إقامتك في فندق زاد المسافر، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اوضه في فندق زاد المسافر يا فندم,"اوضه, فندق, زاد, المسافر, فندم"
fayoum_hotels,سكن في الفيوم مساعدة,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,سكن في الفيوم مساعده,"سكن, الفيوم, مساعده"
fayoum_attractions,صور شلالات الفيوم,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,صور شلالات الفيوم,"صور, شلالات, الفيوم"
fayoum_emergency,Accident Fayoum kindly,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Accident Fayoum kindly,"accident, fayoum, kindly"
